seed_asv_reads	description	accession	identity_percentage	evalue	bitscore
motu19	Parophrys vetulus voucher UW:047297 mitochondrion, complete genome	OP035309	100.00	1.55255e-80	169.0
motu19	Isopsetta isolepis mitochondrion, partial genome	OR499737	100.00	1.55255e-80	169.0
motu19	Parophrys vetulus voucher UW:49686 mitochondrion, complete genome	OR482580	100.00	1.55255e-80	169.0
motu19	Psettichthys melanostictus voucher UW:47682 mitochondrion, complete genome >gi|2569353165|gb|OR482564.1| Psettichthys melanostictus voucher UW:47682 mitochondrion, complete genome	NC_082806	100.00	1.55255e-80	169.0
motu19	Isopsetta isolepis mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: UW:154472	LC145941	100.00	1.55255e-80	169.0
motu19	Psettichthys melanostictus mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: UW:151421	LC145938	100.00	1.55255e-80	169.0
motu19	Parophrys vetulus mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: UW:152927	LC145937	100.00	1.55255e-80	169.0
motu19	Parophrys vetulus mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: UW:151394	LC145936	100.00	1.55255e-80	169.0
motu19	Psettichthys melanostictus mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: UW:118069	LC145925	100.00	1.55255e-80	169.0
motu19	Psettichthys melanostictus mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: UW:151688	LC145924	100.00	1.55255e-80	169.0
motu19	Parophrys vetulus mitochondrial gene for 12S rRNA, partial sequence, specimen_voucher: UW:113572	LC145950	100.00	1.55255e-80	169.0
motu19	Isopsetta isolepis voucher 64 #10-26 small subunit ribosomal RNA gene, partial sequence; mitochondrial	OQ846615	100.00	1.55255e-80	169.0
motu19	Parophrys vetulus voucher FISHCARD_miu_422.1 small subunit ribosomal RNA gene, partial sequence; mitochondrial	OQ846449	100.00	1.55255e-80	169.0
motu19	Psettichthys melanostictus voucher #05-113 small subunit ribosomal RNA gene, partial sequence; mitochondrial	OQ846056	100.00	1.55255e-80	169.0
motu19	Parophrys vetulus voucher #02-72 small subunit ribosomal RNA gene, partial sequence; mitochondrial	OQ846051	100.00	1.55255e-80	169.0
motu19	Parophrys vetulus mitochondrion, complete genome >gi|2305132167|gb|OL806591.1| Parophrys vetulus mitochondrion, complete genome	NC_066930	100.00	1.55255e-80	169.0
motu19	Psettichthys melanostictus 12S ribosomal RNA gene, partial sequence; mitochondrial gene for mitochondrial product	AF488485	100.00	1.55255e-80	169.0
motu19	Isopsetta isolepis 12S ribosomal RNA gene, partial sequence; mitochondrial gene for mitochondrial product	AF488481	100.00	1.55255e-80	169.0
motu19	Platichthys stellatus CBM:ZF:12417-13 mitochondrial gene for 12S rRNA, partial sequence	LC552481	99.41	7.22333e-79	166.0
motu19	Myzopsetta ferruginea voucher r19D 1167 12S ribosomal RNA gene, partial sequence; mitochondrial	MT103916	99.41	7.22333e-79	166.0
motu19	Myzopsetta ferruginea isolate RF65 12S small subunit ribosomal RNA gene, partial sequence; mitochondrial >gi|1515576541|gb|MH377826.1| Myzopsetta ferruginea isolate RF70 12S small subunit ribosomal RNA gene, partial sequence; mitochondrial	MH377825	99.41	7.22333e-79	166.0
motu19	Platichthys flesus isolate ENV1825 mitochondrion, complete genome	PP928767	99.41	7.22333e-79	166.0
motu19	Lepidopsetta polyxystra voucher UW:48799 mitochondrion, complete genome >gi|2569353249|gb|OR482570.1| Lepidopsetta polyxystra voucher UW:48799 mitochondrion, complete genome	NC_082812	99.41	7.22333e-79	166.0
